sheet,row,part_number,section,band_index,band_label,raw_value,price_eur,is_blank
RSP_EUR,11,100800,BMS boards incl. wire harness kits,1,1-19,506.00000000000006,506.00000000000006,0
RSP_EUR,11,100800,BMS boards incl. wire harness kits,2,20-99,381.15000000000009,381.1500000000001,0
RSP_EUR,11,100800,BMS boards incl. wire harness kits,3,100-259,266.20000000000005,266.20000000000005,0
RSP_EUR,11,100800,BMS boards incl. wire harness kits,4,260-499,254.10000000000005,254.10000000000005,0
RSP_EUR,11,100800,BMS boards incl. wire harness kits,5,500-999,249.48000000000005,249.48000000000005,0
RSP_EUR,11,100800,BMS boards incl. wire harness kits,6,1.000-2.499,,,1
RSP_EUR,11,100800,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,11,100800,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,11,100800,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,12,100807,BMS boards incl. wire harness kits,1,1-19,506.00000000000006,506.00000000000006,0
RSP_EUR,12,100807,BMS boards incl. wire harness kits,2,20-99,381.15000000000009,381.1500000000001,0
RSP_EUR,12,100807,BMS boards incl. wire harness kits,3,100-259,266.20000000000005,266.20000000000005,0
RSP_EUR,12,100807,BMS boards incl. wire harness kits,4,260-499,254.10000000000005,254.10000000000005,0
RSP_EUR,12,100807,BMS boards incl. wire harness kits,5,500-999,249.48000000000005,249.48000000000005,0
RSP_EUR,12,100807,BMS boards incl. wire harness kits,6,1.000-2.499,,,1
RSP_EUR,12,100807,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,12,100807,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,12,100807,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,13,100809,BMS boards incl. wire harness kits,1,1-19,200,200.0,0
RSP_EUR,13,100809,BMS boards incl. wire harness kits,2,20-99,165,165.0,0
RSP_EUR,13,100809,BMS boards incl. wire harness kits,3,100-259,145,145.0,0
RSP_EUR,13,100809,BMS boards incl. wire harness kits,4,260-499,93.500000000000014,93.50000000000001,0
RSP_EUR,13,100809,BMS boards incl. wire harness kits,5,500-999,85,85.0,0
RSP_EUR,13,100809,BMS boards incl. wire harness kits,6,1.000-2.499,65.340000000000018,65.34000000000002,0
RSP_EUR,13,100809,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,13,100809,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,13,100809,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,14,100819,BMS boards incl. wire harness kits,1,1-19,200,200.0,0
RSP_EUR,14,100819,BMS boards incl. wire harness kits,2,20-99,165,165.0,0
RSP_EUR,14,100819,BMS boards incl. wire harness kits,3,100-259,145,145.0,0
RSP_EUR,14,100819,BMS boards incl. wire harness kits,4,260-499,93.500000000000014,93.50000000000001,0
RSP_EUR,14,100819,BMS boards incl. wire harness kits,5,500-999,85,85.0,0
RSP_EUR,14,100819,BMS boards incl. wire harness kits,6,1.000-2.499,67.760000000000019,67.76000000000002,0
RSP_EUR,14,100819,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,14,100819,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,14,100819,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,15,100816,BMS boards incl. wire harness kits,1,1-19,756,756.0,0
RSP_EUR,15,100816,BMS boards incl. wire harness kits,2,20-99,486.00000000000006,486.00000000000006,0
RSP_EUR,15,100816,BMS boards incl. wire harness kits,3,100-259,442.26000000000005,442.26000000000005,0
RSP_EUR,15,100816,BMS boards incl. wire harness kits,4,260-499,415.8,415.8,0
RSP_EUR,15,100816,BMS boards incl. wire harness kits,5,500-999,396.90000000000003,396.90000000000003,0
RSP_EUR,15,100816,BMS boards incl. wire harness kits,6,1.000-2.499,362.88000000000005,362.88000000000005,0
RSP_EUR,15,100816,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,15,100816,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,15,100816,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,16,101814,BMS boards incl. wire harness kits,1,1-19,210,210.0,0
RSP_EUR,16,101814,BMS boards incl. wire harness kits,2,20-99,172,172.0,0
RSP_EUR,16,101814,BMS boards incl. wire harness kits,3,100-259,151,151.0,0
RSP_EUR,16,101814,BMS boards incl. wire harness kits,4,260-499,97.5,97.5,0
RSP_EUR,16,101814,BMS boards incl. wire harness kits,5,500-999,86.45,86.45,0
RSP_EUR,16,101814,BMS boards incl. wire harness kits,6,1.000-2.499,66.239999999999995,66.24,0
RSP_EUR,16,101814,BMS boards incl. wire harness kits,7,2.500-4.999,64.87,64.87,0
RSP_EUR,16,101814,BMS boards incl. wire harness kits,8,5.000-9.999,58.61,58.61,0
RSP_EUR,16,101814,BMS boards incl. wire harness kits,9,10.000-24.999,56.98,56.98,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,1,1-19,Not priced,,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,2,20-99,Not priced,,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,3,100-259,Not priced,,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,4,260-499,Not priced,,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,5,500-999,Not priced,,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,6,1.000-2.499,Not priced,,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,7,2.500-4.999,Not priced,,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,8,5.000-9.999,Not priced,,0
RSP_EUR,17,101815,BMS boards incl. wire harness kits,9,10.000-24.999,Not priced,,0
RSP_EUR,18,100802,BMS boards incl. wire harness kits,1,1-19,92.399999999999991,92.39999999999999,0
RSP_EUR,18,100802,BMS boards incl. wire harness kits,2,20-99,76.5,76.5,0
RSP_EUR,18,100802,BMS boards incl. wire harness kits,3,100-259,,,1
RSP_EUR,18,100802,BMS boards incl. wire harness kits,4,260-499,,,1
RSP_EUR,18,100802,BMS boards incl. wire harness kits,5,500-999,,,1
RSP_EUR,18,100802,BMS boards incl. wire harness kits,6,1.000-2.499,,,1
RSP_EUR,18,100802,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,18,100802,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,18,100802,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,1,1-19,66,66.0,0
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,2,20-99,54,54.0,0
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,3,100-259,,,1
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,4,260-499,,,1
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,5,500-999,,,1
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,6,1.000-2.499,,,1
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,19,100985.1,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,20,100986,BMS boards incl. wire harness kits,1,1-19,30,30.0,0
RSP_EUR,20,100986,BMS boards incl. wire harness kits,2,20-99,27.599999999999998,27.599999999999998,0
RSP_EUR,20,100986,BMS boards incl. wire harness kits,3,100-259,,,1
RSP_EUR,20,100986,BMS boards incl. wire harness kits,4,260-499,,,1
RSP_EUR,20,100986,BMS boards incl. wire harness kits,5,500-999,,,1
RSP_EUR,20,100986,BMS boards incl. wire harness kits,6,1.000-2.499,,,1
RSP_EUR,20,100986,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,20,100986,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,20,100986,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,21,100987,BMS boards incl. wire harness kits,1,1-19,92.4,92.4,0
RSP_EUR,21,100987,BMS boards incl. wire harness kits,2,20-99,65,65.0,0
RSP_EUR,21,100987,BMS boards incl. wire harness kits,3,100-259,,,1
RSP_EUR,21,100987,BMS boards incl. wire harness kits,4,260-499,,,1
RSP_EUR,21,100987,BMS boards incl. wire harness kits,5,500-999,,,1
RSP_EUR,21,100987,BMS boards incl. wire harness kits,6,1.000-2.499,,,1
RSP_EUR,21,100987,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,21,100987,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,21,100987,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,22,103006,BMS boards incl. wire harness kits,1,1-19,66,66.0,0
RSP_EUR,22,103006,BMS boards incl. wire harness kits,2,20-99,54,54.0,0
RSP_EUR,22,103006,BMS boards incl. wire harness kits,3,100-259,,,1
RSP_EUR,22,103006,BMS boards incl. wire harness kits,4,260-499,,,1
RSP_EUR,22,103006,BMS boards incl. wire harness kits,5,500-999,,,1
RSP_EUR,22,103006,BMS boards incl. wire harness kits,6,1.000-2.499,,,1
RSP_EUR,22,103006,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,22,103006,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,22,103006,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,23,100916,BMS boards incl. wire harness kits,1,1-19,330,330.0,0
RSP_EUR,23,100916,BMS boards incl. wire harness kits,2,20-99,275,275.0,0
RSP_EUR,23,100916,BMS boards incl. wire harness kits,3,100-259,231.00000000000003,231.00000000000003,0
RSP_EUR,23,100916,BMS boards incl. wire harness kits,4,260-499,213.67500000000004,213.67500000000004,0
RSP_EUR,23,100916,BMS boards incl. wire harness kits,5,500-999,203.50000000000003,203.50000000000003,0
RSP_EUR,23,100916,BMS boards incl. wire harness kits,6,1.000-2.499,161.70000000000002,161.70000000000002,0
RSP_EUR,23,100916,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,23,100916,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,23,100916,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,24,100924,BMS boards incl. wire harness kits,1,1-19,305.76000000000005,305.76000000000005,0
RSP_EUR,24,100924,BMS boards incl. wire harness kits,2,20-99,184.80000000000004,184.80000000000004,0
RSP_EUR,24,100924,BMS boards incl. wire harness kits,3,100-259,172.48000000000002,172.48000000000002,0
RSP_EUR,24,100924,BMS boards incl. wire harness kits,4,260-499,154,154.0,0
RSP_EUR,24,100924,BMS boards incl. wire harness kits,5,500-999,147,147.0,0
RSP_EUR,24,100924,BMS boards incl. wire harness kits,6,1.000-2.499,134.4,134.4,0
RSP_EUR,24,100924,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,24,100924,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,24,100924,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,25,100925,BMS boards incl. wire harness kits,1,1-19,365,365.0,0
RSP_EUR,25,100925,BMS boards incl. wire harness kits,2,20-99,210,210.0,0
RSP_EUR,25,100925,BMS boards incl. wire harness kits,3,100-259,196,196.0,0
RSP_EUR,25,100925,BMS boards incl. wire harness kits,4,260-499,183.75,183.75,0
RSP_EUR,25,100925,BMS boards incl. wire harness kits,5,500-999,175,175.0,0
RSP_EUR,25,100925,BMS boards incl. wire harness kits,6,1.000-2.499,154,154.0,0
RSP_EUR,25,100925,BMS boards incl. wire harness kits,7,2.500-4.999,,,1
RSP_EUR,25,100925,BMS boards incl. wire harness kits,8,5.000-9.999,,,1
RSP_EUR,25,100925,BMS boards incl. wire harness kits,9,10.000-24.999,,,1
RSP_EUR,26,102100,BMS boards incl. wire harness kits,1,1-19,,,1
RSP_EUR,26,102100,BMS boards incl. wire harness kits,2,20-99,,,1
RSP_EUR,26,102100,BMS boards incl. wire harness kits,3,100-259,,,1
