sheet,row,col,cell_ref,value,status_label,fill
RSP_EUR,16,1,A16,101814,CHANGE,FFFFC000
RSP_EUR,16,2,B16,n3-BMS CMU18/4 Flex top mount isoSPI - 200mA balancing current  (RELEASE Q3/2026),CHANGE,FFFFC000
RSP_EUR,16,3,C16,210,CHANGE,FFFFC000
RSP_EUR,16,4,D16,172,CHANGE,FFFFC000
RSP_EUR,16,5,E16,151,CHANGE,FFFFC000
RSP_EUR,16,6,F16,97.5,CHANGE,FFFFC000
RSP_EUR,16,7,G16,86.45,CHANGE,FFFFC000
RSP_EUR,16,8,H16,66.239999999999995,CHANGE,FFFFC000
RSP_EUR,16,9,I16,64.87,CHANGE,FFFFC000
RSP_EUR,16,10,J16,58.61,CHANGE,FFFFC000
RSP_EUR,16,11,K16,56.98,CHANGE,FFFFC000
RSP_EUR,17,1,A17,101815,New Item added,theme:4
RSP_EUR,17,2,B17,n-BMS CMU18/4 Wire top mount isoSPI - 200mA balancing current DRAFT,New Item added,theme:4
RSP_EUR,20,1,A20,100986,CHANGE,FFFFC000
RSP_EUR,20,2,B20,n-BMS MCU isoSPI Wire harness kit CMU 100809/101814,CHANGE,FFFFC000
RSP_EUR,22,1,A22,103006,New Item added,theme:4
RSP_EUR,22,2,B22,n-BMS CMU18/4 101814 Wire harness kit (1000mm) shielded com cable,New Item added,theme:4
RSP_EUR,22,3,C22,66,New Item added,theme:4
RSP_EUR,22,4,D22,54,New Item added,theme:4
RSP_EUR,23,1,A23,100916,New Item added,theme:4
RSP_EUR,23,2,B23,i-BMS15/6,New Item added,theme:4
RSP_EUR,23,3,C23,330,New Item added,theme:4
RSP_EUR,23,4,D23,275,New Item added,theme:4
RSP_EUR,23,5,E23,231.00000000000003,New Item added,theme:4
RSP_EUR,23,6,F23,213.67500000000004,New Item added,theme:4
RSP_EUR,23,7,G23,203.50000000000003,New Item added,theme:4
RSP_EUR,23,8,H23,161.70000000000002,New Item added,theme:4
RSP_EUR,26,1,A26,102100,Discontinued,FFFFC7CE
RSP_EUR,26,2,B26,c-BMS18,Discontinued,FFFFC7CE
RSP_EUR,27,1,A27,103005,Discontinued,FFFFC7CE
RSP_EUR,27,2,B27,"Harness kit for c-BMS18, for development purpose only",Discontinued,FFFFC7CE
RSP_EUR,28,1,A28,100980,New Item added,theme:4
RSP_EUR,28,2,B28,i-BMS15 Wire harness kit SINGLE PACK,New Item added,theme:4
RSP_EUR,28,3,C28,150,New Item added,theme:4
RSP_EUR,28,4,D28,100,New Item added,theme:4
RSP_EUR,29,1,A29,100981,New Item added,theme:4
RSP_EUR,29,2,B29,i-BMS15 Wire harness kit PARALLEL PACK,New Item added,theme:4
RSP_EUR,29,3,C29,150,New Item added,theme:4
RSP_EUR,29,4,D29,100,New Item added,theme:4
RSP_EUR,44,1,A44,200100,CHANGE,FFFFC000
RSP_EUR,44,2,B44,i-BMS Unified Creator License FULL ,CHANGE,FFFFC000
RSP_EUR,44,3,C44,1700,CHANGE,FFFFC000
RSP_EUR,44,4,D44,1275,CHANGE,FFFFC000
RSP_EUR,44,5,E44,1105,CHANGE,FFFFC000
RSP_EUR,44,6,F44,850,CHANGE,FFFFC000
RSP_EUR,44,7,G44,595,CHANGE,FFFFC000
RSP_EUR,44,8,H44,425,CHANGE,FFFFC000
RSP_EUR,45,4,D45,1275,CHANGE,FFFFC000
RSP_EUR,45,5,E45,1105,CHANGE,FFFFC000
RSP_EUR,45,6,F45,850,CHANGE,FFFFC000
RSP_EUR,45,7,G45,595,CHANGE,FFFFC000
RSP_EUR,45,8,H45,425,CHANGE,FFFFC000
RSP_EUR,46,4,D46,1275,CHANGE,FFFFC000
RSP_EUR,46,5,E46,1105,CHANGE,FFFFC000
RSP_EUR,46,6,F46,850,CHANGE,FFFFC000
RSP_EUR,46,7,G46,595,CHANGE,FFFFC000
RSP_EUR,46,8,H46,425,CHANGE,FFFFC000
RSP_EUR,47,1,A47,200400,Discontinued,FFFFC7CE
RSP_EUR,47,2,B47,c-BMS18 Unified Creator License FULL,Discontinued,FFFFC7CE
RSP_EUR,48,4,D48,1275,CHANGE,FFFFC000
RSP_EUR,48,5,E48,1105,CHANGE,FFFFC000
RSP_EUR,48,6,F48,850,CHANGE,FFFFC000
RSP_EUR,48,7,G48,595,CHANGE,FFFFC000
RSP_EUR,48,8,H48,425,CHANGE,FFFFC000
RSP_EUR,49,4,D49,1811.25,CHANGE,FFFFC000
RSP_EUR,49,5,E49,1569.75,CHANGE,FFFFC000
RSP_EUR,49,6,F49,1207.5,CHANGE,FFFFC000
RSP_EUR,49,7,G49,845.25,CHANGE,FFFFC000
RSP_EUR,49,8,H49,603.75,CHANGE,FFFFC000
RSP_EUR,50,1,A50,200001,New Item added,theme:4
RSP_EUR,50,2,B50,Reactivation process fee of Creator License Full ,New Item added,theme:4
RSP_EUR,50,3,C50,700,New Item added,theme:4
RSP_EUR,50,4,D50,525,New Item added,theme:4
RSP_EUR,50,5,E50,455,New Item added,theme:4
RSP_EUR,50,6,F50,350,New Item added,theme:4
RSP_EUR,50,7,G50,244.99999999999997,New Item added,theme:4
RSP_EUR,50,8,H50,175,New Item added,theme:4
RSP_EUR,56,1,A56,300100,CHANGE,FFFFC000
RSP_EUR,56,2,B56,i-BMS Unified Service,CHANGE,FFFFC000
RSP_EUR,56,3,C56,450,CHANGE,FFFFC000
RSP_EUR,56,4,D56,337.5,CHANGE,FFFFC000
RSP_EUR,56,5,E56,292.5,CHANGE,FFFFC000
RSP_EUR,56,6,F56,292.5,CHANGE,FFFFC000
RSP_EUR,56,7,G56,225,CHANGE,FFFFC000
RSP_EUR,56,8,H56,157.5,CHANGE,FFFFC000
RSP_EUR,57,4,D57,337.5,CHANGE,FFFFC000
RSP_EUR,57,5,E57,292.5,CHANGE,FFFFC000
RSP_EUR,57,6,F57,292.5,CHANGE,FFFFC000
RSP_EUR,57,7,G57,225,CHANGE,FFFFC000
RSP_EUR,57,8,H57,157.5,CHANGE,FFFFC000
RSP_EUR,58,4,D58,337.5,CHANGE,FFFFC000
RSP_EUR,58,5,E58,292.5,CHANGE,FFFFC000
RSP_EUR,58,6,F58,292.5,CHANGE,FFFFC000
RSP_EUR,58,7,G58,225,CHANGE,FFFFC000
RSP_EUR,58,8,H58,157.5,CHANGE,FFFFC000
RSP_EUR,59,1,A59,300400,Discontinued,FFFFC7CE
RSP_EUR,59,2,B59,c-BMS18 Unified Service Tool,Discontinued,FFFFC7CE
RSP_EUR,60,4,D60,337.5,CHANGE,FFFFC000
RSP_EUR,60,5,E60,292.5,CHANGE,FFFFC000
RSP_EUR,60,6,F60,292.5,CHANGE,FFFFC000
RSP_EUR,60,7,G60,225,CHANGE,FFFFC000
RSP_EUR,60,8,H60,157.5,CHANGE,FFFFC000
RSP_EUR,61,4,D61,468.75,CHANGE,FFFFC000
RSP_EUR,61,5,E61,406.25,CHANGE,FFFFC000
RSP_EUR,61,6,F61,403.125,CHANGE,FFFFC000
RSP_EUR,61,7,G61,303.125,CHANGE,FFFFC000
RSP_EUR,61,8,H61,215.62499999999997,CHANGE,FFFFC000
RSP_EUR,62,1,A62,300999,CHANGE,FFFFC000
RSP_EUR,62,2,B62,Reactivationprocess fee of Creator Service Tool ,CHANGE,FFFFC000
RSP_EUR,62,3,C62,700,CHANGE,FFFFC000
RSP_EUR,62,4,D62,525,CHANGE,FFFFC000
RSP_EUR,62,5,E62,455,CHANGE,FFFFC000
RSP_EUR,62,6,F62,262.5,CHANGE,FFFFC000
RSP_EUR,62,7,G62,244.99999999999997,CHANGE,FFFFC000
RSP_EUR,62,8,H62,175,CHANGE,FFFFC000
RSP_EUR,66,3,C66,1700,CHANGE,FFFFC000
RSP_EUR,66,4,D66,1275,CHANGE,FFFFC000
RSP_EUR,66,5,E66,956.25,CHANGE,FFFFC000
RSP_EUR,67,3,C67,450,CHANGE,FFFFC000
RSP_EUR,67,4,D67,337.5,CHANGE,FFFFC000
RSP_EUR,67,5,E67,292.5,CHANGE,FFFFC000
RSP_EUR,68,1,A68,100699.99,CHANGE,FFFFC000
RSP_EUR,68,2,B68,Reactivation process fee of s-BMS Pro or PC Service Tool ,CHANGE,FFFFC000
RSP_EUR,68,3,C68,135,CHANGE,FFFFC000
RSP_EUR,68,4,D68,101.25,CHANGE,FFFFC000
RSP_EUR,68,5,E68,87.75,CHANGE,FFFFC000
Changes_Log,1,1,A1,44986,Delivery STOP,FFFFFF00
Changes_Log,13,1,A13,45352,Delivery STOP,FFFFFF00
Changes_Log,23,1,A23,45536,Delivery STOP,FFFFFF00
Changes_Log,28,1,A28,45901,Delivery STOP,FFFFFF00
Changes_Log,37,1,A37,46174,Delivery STOP,FFFFFF00
