Part_Number,Description,Category,Discountable,Active,Item_Status,Quote_Warning,Price_T1,Price_T2,Price_T3,Price_T4,Price_T5,Price_T6,Price_T7,Price_T8,Price_T9
100800,n-BMS Master Control Unit (MCU-PCBA) with CAN termination,BMS,Y,Y,Active,,506.00,381.15,266.20,254.10,249.48,,,,
100807,n-BMS Master Control Unit (MCU-PCBA) w/o CAN Term. Resist>500V,BMS,Y,Y,Active,,506.00,381.15,266.20,254.10,249.48,,,,
100809,n-BMS CMU12/2 top mount isoSPI - 200mA balancing current,BMS,Y,Y,Active,,200.00,165.00,145.00,93.50,85.00,65.34,,,
100819,n-BMS CMU12/2 side mount isoSPI - 100mA balancing current,BMS,Y,Y,Active,,200.00,165.00,145.00,93.50,85.00,67.76,,,
100816,n3-BMS Master Control Unit  (MCU-PCBA),BMS,Y,Y,Active,,756.00,486.00,442.26,415.80,396.90,362.88,,,
101814,n3-BMS CMU18/4 Flex top mount isoSPI - 200mA balancing current  (RELEASE Q3/2026),BMS,Y,Y,Not_Released,Y — vendor marks item DRAFT / future release; confirm availability before quoting,210.00,172.00,151.00,97.50,86.45,66.24,64.87,58.61,56.98
101815,n-BMS CMU18/4 Wire top mount isoSPI - 200mA balancing current DRAFT,BMS,N,Y,Not_Released,Y — vendor marks item DRAFT / future release; confirm availability before quoting,,,,,,,,,
100802,n-BMS Wire harness kit MCU (100800/100807),BMS,N,Y,Active,,92.40,76.50,,,,,,,
100985.1,n-BMS CMU12/2 100809 Wire harness kit (1700mm) shielded com cable,BMS,N,Y,Active,,66.00,54.00,,,,,,,
100985.2,n3-BMS CMU18 101814 wireharness kit (1000mm) Flatcable and ISO SPI,BMS,N,Y,Active,,108.40,88.68,,,,,,,
100986,n-BMS MCU isoSPI Wire harness kit CMU 100809/101814,BMS,N,Y,Active,,30.00,27.60,,,,,,,
100987,n3-BMS MCU Wire harness kit MCU (100816),BMS,N,Y,Active,,92.40,65.00,,,,,,,
103006,n3-BMS CMU18/4 101814 Wire harness kit (1000mm) shielded com cable,BMS,N,Y,Bundled,Included in 100985.2 — no separate charge; quote 100985.2 instead,,,,,,,,,
100916,i-BMS15/6,BMS,Y,Y,Active,,330.00,275.00,231.00,213.68,203.50,161.70,,,
100924,c-BMS24,BMS,Y,Y,Active,,305.76,184.80,172.48,154.00,147.00,134.40,,,
100925,c-BMS24X,BMS,Y,Y,Active,,365.00,210.00,196.00,183.75,175.00,154.00,,,
102100,c-BMS18,BMS,N,Y,Discontinued,Y — vendor marked Discontinued in July 2026 RSP; warn and double-check before quoting,,,,,,,,,
103005,"Harness kit for c-BMS18, for development purpose only",BMS,N,Y,Discontinued,Y — vendor marked Discontinued in July 2026 RSP; warn and double-check before quoting,,,,,,,,,
100980,i-BMS15 Wire harness kit SINGLE PACK,BMS,N,Y,Active,,150.00,100.00,,,,,,,
100981,i-BMS15 Wire harness kit PARALLEL PACK,BMS,N,Y,Active,,150.00,100.00,,,,,,,
100930,c-BMS24 Wire harness kit I/O 16w,BMS,N,Y,Active,,16.17,10.80,,,,,,,
100931,c-BMS24 Wire harness kit bat temperature and shunt 20w,BMS,N,Y,Active,,18.64,15.12,,,,,,,
100932,c-BMS24 Wire harness kit cell voltage monitoring wire 32w,BMS,N,Y,Active,,52.80,43.00,,,,,,,
100684,Compact shunt (500A/50mV),Accessory,N,Y,Active,,136.00,99.86,,,,,,,
000637,LEM Sensor DHAB- S/106 (20A/500A CH1/CH2 automotive),Accessory,N,Y,Active,,89.65,,,,,,,,
000876,LEM Sensor DHAB S/118 (30A/350A CH1/CH2 automotive),Accessory,N,Y,Active,,89.65,,,,,,,,
000833,LEM Sensor DHAB- S/133 (75A/750A CH1/CH2 automotive),Accessory,N,Y,Active,,89.65,,,,,,,,
