Part_Number,Description,Category,Tier_Scheme,Discountable,Active,Source_Row,Source_Visibility,Duplicate_Classification,Price_T1,Price_T2,Price_T3,Price_T4,Price_T5,Price_T6,Price_T7,Price_T8,Price_T9,Review_Flag,Review_Reason,Recommended_Action
100800,n-BMS Master Control Unit (MCU-PCBA) with CAN termination,Hardware,hardware,Y,Y,11,visible,,506.00,381.15,266.20,254.10,249.48,,,,,,,
100807,n-BMS Master Control Unit (MCU-PCBA) w/o CAN Term. Resist>500V,Hardware,hardware,Y,Y,12,visible,,506.00,381.15,266.20,254.10,249.48,,,,,,,
100809,n-BMS CMU12/2 top mount isoSPI - 200mA balancing current,Hardware,hardware,Y,Y,13,visible,,200.00,165.00,145.00,93.50,85.00,65.34,,,,,,
100819,n-BMS CMU12/2 side mount isoSPI - 100mA balancing current,Hardware,hardware,Y,Y,14,visible,,200.00,165.00,145.00,93.50,85.00,67.76,,,,,,
100816,n3-BMS Master Control Unit  (MCU-PCBA),Hardware,hardware,Y,Y,15,visible,,756.00,486.00,442.26,415.80,396.90,362.88,,,,,,
101814,n3-BMS CMU18/4 Flex top mount isoSPI - 200mA balancing current  (RELEASE Q3/2026),Hardware,hardware,Y,Y,16,visible,,210.00,172.00,151.00,97.50,86.45,66.24,64.87,58.61,56.98,,,
101815,n-BMS CMU18/4 Wire top mount isoSPI - 200mA balancing current DRAFT,Hardware,hardware,N,REVIEW,17,visible,,,,,,,,,,,UNPRICED,No published price in July 2026 RSP (sheet row 17); listed without price points. Confirmed genuinely unpriced in the raw source cells (not a parsing gap) - see docs/LIBAL_REFERENCE_PRICE_QC.md.,BLOCKED_NO_PRICE (pending Bill/Bryan decision - import/exclude/manual price)
100802,n-BMS Wire harness kit MCU (100800/100807),Hardware,hardware,N,Y,18,visible,,92.40,76.50,,,,,,,,,,
100985.1,n-BMS CMU12/2 100809 Wire harness kit (1700mm) shielded com cable,Hardware,hardware,N,Y,19,visible,,66.00,54.00,,,,,,,,,,
100986,n-BMS MCU isoSPI Wire harness kit CMU 100809/101814,Hardware,hardware,N,Y,20,visible,,30.00,27.60,,,,,,,,,,
100987,n3-BMS MCU Wire harness kit MCU (100816),Hardware,hardware,N,Y,21,visible,,92.40,65.00,,,,,,,,,,
103006,n-BMS CMU18/4 101814 Wire harness kit (1000mm) shielded com cable,Hardware,hardware,N,Y,22,visible,,66.00,54.00,,,,,,,,,,
100916,i-BMS15/6,Hardware,hardware,Y,Y,23,visible,,330.00,275.00,231.00,213.68,203.50,161.70,,,,,,
100924,c-BMS24,Hardware,hardware,Y,Y,24,visible,,305.76,184.80,172.48,154.00,147.00,134.40,,,,,,
100925,c-BMS24X,Hardware,hardware,Y,Y,25,visible,,365.00,210.00,196.00,183.75,175.00,154.00,,,,,,
102100,c-BMS18,Hardware,hardware,N,REVIEW,26,visible,,,,,,,,,,,UNPRICED,"No published price in July 2026 RSP (sheet row 26); vendor row is marked Discontinued, so this SKU is excluded from live import/quoting by vendor discontinued status. Bill/Bryan visibility or override only; approval is not required for exclusion - see docs/LIBAL_REFERENCE_PRICE_QC.md.",EXCLUDE_VENDOR_DISCONTINUED (excluded from live import/quoting; Bill/Bryan visibility/override only)
103005,"Harness kit for c-BMS18, for development purpose only",Hardware,hardware,N,REVIEW,27,visible,,,,,,,,,,,UNPRICED,"No published price in July 2026 RSP (sheet row 27); vendor row is marked Discontinued, so this SKU is excluded from live import/quoting by vendor discontinued status. Bill/Bryan visibility or override only; approval is not required for exclusion - see docs/LIBAL_REFERENCE_PRICE_QC.md.",EXCLUDE_VENDOR_DISCONTINUED (excluded from live import/quoting; Bill/Bryan visibility/override only)
100980,i-BMS15 Wire harness kit SINGLE PACK,Hardware,hardware,N,Y,28,visible,,150.00,100.00,,,,,,,,,,
100981,i-BMS15 Wire harness kit PARALLEL PACK,Hardware,hardware,N,Y,29,visible,,150.00,100.00,,,,,,,,,,
100930,c-BMS24 Wire harness kit I/O 16w,Hardware,hardware,N,Y,30,visible,,16.17,10.80,,,,,,,,,,
100931,c-BMS24 Wire harness kit bat temperature and shunt 20w,Hardware,hardware,N,Y,31,visible,,18.64,15.12,,,,,,,,,,
100932,c-BMS24 Wire harness kit cell voltage monitoring wire 32w,Hardware,hardware,N,Y,32,visible,,52.80,43.00,,,,,,,,,,
100684,Compact shunt (500A/50mV),Accessory,hardware,N,Y,36,visible,,81.90,59.85,,,,,,,,,,
000637,LEM Sensor DHAB- S/106 (20A/500A CH1/CH2 automotive),Accessory,hardware,N,Y,37,visible,,89.65,,,,,,,,,,,
000876,LEM Sensor DHAB S/118 (30A/350A CH1/CH2 automotive),Accessory,hardware,N,Y,38,visible,,89.65,,,,,,,,,,,
