Kit_Key,Kit_Main_SKU,Component_SKU,Description,Requirement,Qty_Rule,Qty_Value,Channels_Per_CMU,Alternate_SKU,Confidence,Source_Row,Notes
ibms15,100916,100916,i-BMS15/6,main,fixed,1,,,vendor_config,i-BMS config !5,"Main product. /6 = up to 6 battery packs in parallel with Hot Swap per official product page (lithiumbalance.com/products/i-bms15/); 8-15 voltage channels; NOT daisy-chained boards"
ibms15,100916,100980,i-BMS15 Wire harness kit SINGLE PACK,optional,fixed,1,,,vendor_config,i-BMS config !6,"Optional - can be sourced externally"
ibms15,100916,100981,i-BMS15 Wire harness kit PARALLEL PACK,optional,fixed,2,,,vendor_config,i-BMS config !7,"Optional - can be sourced externally; vendor qty 2 for parallel-pack configurations"
ibms15,100916,200100,i-BMS Unified Creator License FULL,required,fixed,1,,,vendor_config,i-BMS config !8,"1 user"
ibms15,100916,300100,i-BMS Unified Service,manual,manual,,,,vendor_config,i-BMS config !9,"Vendor qty x. Optional; needed mostly for service after series production; usually not sold"
ibms15,100916,100545,Peak CAN adapter for n- and c-BMS,required_removable,fixed,1,,,vendor_config,i-BMS config !10,"Necessary for software setup but customer may already own one (meeting R5) - defaults on the quote, removable"
cbms24,100924,100924,c-BMS24,main,fixed,1,,,vendor_config,c-BMS24 config!5,"Main product; up to 24 cells (lithiumbalance.com/products/c-bms24/)"
cbms24,100924,100930,c-BMS24 Wire harness kit I/O 16w,optional,fixed,1,,,vendor_config,c-BMS24 config!6,"Optional - can be sourced externally"
cbms24,100924,100931,c-BMS24 Wire harness kit bat temperature and shunt 20w,optional,fixed,1,,,vendor_config,c-BMS24 config!7,"Optional - can be sourced externally"
cbms24,100924,100932,c-BMS24 Wire harness kit cell voltage monitoring wire 32w,optional,fixed,1,,,vendor_config,c-BMS24 config!8,"Optional - can be sourced externally"
cbms24,100924,100684,Compact shunt (500A/50mV),optional,fixed,1,,,vendor_config,c-BMS24 config!9,"Optional - can be sourced externally"
cbms24,100924,200300,c-BMS24X Unified Creator License FULL,required,fixed,1,,,pending_business,c-BMS24 config!10,"Q1: vendor config assigns the c-BMS24X license to the c-BMS24 kit although 200200 (c-BMS24 Unified Creator License) exists at identical pricing - confirm which SKU to quote"
cbms24,100924,300300,c-BMS24X Unified SERVICE Tool,manual,manual,,,,pending_business,c-BMS24 config!11,"Vendor qty x. Q1: vendor config assigns the c-BMS24X service tool although 300200 (c-BMS24 Unified Service Tool) exists at identical pricing - confirm which SKU to quote"
cbms24,100924,100545,Peak CAN adapter for n- and c-BMS,required_removable,fixed,1,,,vendor_config,c-BMS24 config!12,"Necessary for software setup but customer may already own one (meeting R5) - defaults on the quote, removable"
cbms24x,100925,100925,c-BMS24X,main,fixed,1,,,vendor_config,c-BMS24X config!5,"Main product; up to 24 cells, parallel support up to 10 packs (lithiumbalance.com/products/c-bms24x/)"
cbms24x,100925,100930,c-BMS24 Wire harness kit I/O 16w,optional,fixed,1,,,vendor_config,c-BMS24X config!6,"Optional - can be sourced externally"
cbms24x,100925,100931,c-BMS24 Wire harness kit bat temperature and shunt 20w,optional,fixed,1,,,vendor_config,c-BMS24X config!7,"Optional - can be sourced externally"
cbms24x,100925,100932,c-BMS24 Wire harness kit cell voltage monitoring wire 32w,optional,fixed,1,,,vendor_config,c-BMS24X config!8,"Optional - can be sourced externally"
cbms24x,100925,100684,Compact shunt (500A/50mV),optional,fixed,1,,,vendor_config,c-BMS24X config!9,"Optional - can be sourced externally"
cbms24x,100925,200300,c-BMS24X Unified Creator License FULL,required,fixed,1,,,vendor_config,c-BMS24X config!10,"1 user; family-correct for this kit"
cbms24x,100925,300300,c-BMS24X Unified SERVICE Tool,manual,manual,,,,vendor_config,c-BMS24X config!11,"Vendor qty x. Optional; needed mostly for service after series production; usually not sold"
cbms24x,100925,100545,Peak CAN adapter for n- and c-BMS,required_removable,fixed,1,,,vendor_config,c-BMS24X config!12,"Necessary for software setup but customer may already own one (meeting R5) - defaults on the quote, removable"
nbms_cmu12,100807,100807,n-BMS Master Control Unit (MCU-PCBA) w/o CAN Term. Resist>500V,main,fixed,1,,100800,vendor_config,n-BMS w 100809!5,"Main product (vendor sheet has no explicit main marker for this kit). Without CAN termination for partial parallel pack support; alternate 100800 is with CAN termination"
nbms_cmu12,100807,100809,n-BMS CMU12/2 top mount isoSPI - 200mA balancing current,required,cmu_from_series_cells,,12,,datasheet_confirmed,n-BMS w 100809!6,"Vendor qty 1 - 30; qty = ceil(series_cells/12). Official n-BMS page: 4-12 cells per CMU, 1-32 CMUs, 384 series cells max (lithiumbalance.com/products/n-bms/); vendor config example: 8 in a 96 channel system"
nbms_cmu12,100807,100802,LiBAL n-BMS Wire harness kit for MCU,optional,match_mcu_qty,,,,vendor_config,n-BMS w 100809!7,"Optional. Same amount as MCUs"
nbms_cmu12,100807,100985.1,LiBAL n-BMS CMU12/2 100809 wireharness kit (1700mm) shielded com cable,optional,match_cmu_qty,,,,vendor_config,n-BMS w 100809!8,"Optional. Same amount as number of CMUs (vendor qty 1 - 30)"
nbms_cmu12,100807,100986,LiBAL n-BMS MCU isoSPI wire for CMU 100809,optional,match_mcu_qty,,,,vendor_config,n-BMS w 100809!9,"Optional for 100800; same amount as 100800 MCU; included in 100985.1 for 100807"
nbms_cmu12,100807,100684,Compact shunt (500A/50mV),optional,fixed,1,,,vendor_config,n-BMS w 100809!10,"Optional"
nbms_cmu12,100807,200500,n-BMS Unified Creator License FULL,required,fixed,1,,,vendor_config,n-BMS w 100809!11,"1 user"
nbms_cmu12,100807,300500,n-BMS Unified SERVICE Tool,manual,manual,,,,vendor_config,n-BMS w 100809!12,"Vendor qty x. Optional; needed mostly for series production; up to 249 users; alternatives for 10 and 25 users"
nbms_cmu12,100807,100545,Peak CAN adapter for n- and c-BMS,required_removable,fixed,1,,,vendor_config,n-BMS w 100809!13,"Necessary for software setup but customer may already own one (meeting R5) - defaults on the quote, removable"
n3bms_cmu12,100816,100816,n3-BMS MCU,main,fixed,1,,,vendor_config,n3-BMS w 100809!6,"Main product"
n3bms_cmu12,100816,100809,n-BMS CMU12/2 top mount isoSPI - 200mA balancing current,required,cmu_from_series_cells,,12,,datasheet_confirmed,n3-BMS w 100809!7,"Vendor qty 1 - 30; qty = ceil(series_cells/12). Official n3-BMS page: CMU channels 6-12 (lithiumbalance.com/products/n3-bms-battery-management-system-bms/); vendor config example: 8 in a 96 channel system"
n3bms_cmu12,100816,100987,LiBAL n3-BMS MCU wirekit,optional,match_mcu_qty,,,,vendor_config,n3-BMS w 100809!8,"Optional. Same amount as MCUs"
n3bms_cmu12,100816,100985.1,LiBAL n-BMS CMU12/2 100809 wireharness kit (1700mm) shielded com cable,optional,match_cmu_qty,,,,vendor_config,n3-BMS w 100809!9,"Optional. Same amount as number of CMUs"
n3bms_cmu12,100816,000637,LEM Sensor DHAB- S/106 (20A/500A CH1/CH2 automotive),optional,match_mcu_qty,,,,vendor_config,n3-BMS w 100809!10,"Optional. Same amounts as MCU; Hall sensors with other current capabilities are available"
n3bms_cmu12,100816,100683,Compact shunt (300A/50mV),optional,fixed,1,,,pending_business,n3-BMS w 100809!11,"not_in_rsp_unquotable: SKU absent from the July 2026 RSP / Item_Master import preview - excluded from autofill until priced or replaced (nearest priced alternative: 100684 500A/50mV)"
n3bms_cmu12,100816,200500,n-BMS Unified Creator License FULL,required,fixed,1,,,vendor_config,n3-BMS w 100809!12,"1 user"
n3bms_cmu12,100816,300500,n-BMS Unified SERVICE Tool,manual,manual,,,,vendor_config,n3-BMS w 100809!13,"Vendor qty x. Optional; needed mostly for series production; up to 249 users"
